,inn,n_requests,documents_len,result_type_proigrano,result_type_viygrano,result_type_ne_udalos_opredelit,num_of_active_cases,case_side_type_0,case_side_type_1,case_side_type_2,proigrano_sum,viygrano_sum,cases_len,is_bankrupt,year,long_term_liabilities_fiscal_year,short_term_liabilities_fiscal_year,balance_assets_fiscal_year,okei
0,7736609147,1,253,23,6,23,1,2,57,0,51153662.45,10395854.55,59,1,2012.0,0.0,75255.0,85541.0,384.0
1,5028024427,1,99,1,0,1,1,1,1,0,4269304.88,0.0,4,1,2013.0,0.0,59825.0,48360.0,384.0
2,7622005092,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
3,7455005950,1,76,1,2,2,1,1,5,0,7779.05,808000.0,6,1,2013.0,38411.0,4198.0,45890.0,384.0
4,2111000271,1,150,1,2,9,0,3,10,0,2439854.48,2439854.48,13,1,2012.0,0.0,0.0,6122.0,384.0
5,3607001642,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
6,5030002212,1,1504,36,0,10,5,3,45,0,25855307.66,0.0,48,1,2017.0,95507.0,6827.0,119730.0,384.0
7,7415064205,1,180,13,2,8,2,2,24,0,1634460.92,728000.0,26,1,2012.0,0.0,0.0,2245.0,384.0
8,2536163593,1,909,2,3,9,1,2,17,0,654198.41,1351974.89,19,0,2012.0,11445.0,544.0,41879.0,384.0
9,5019015634,2,2429,29,23,45,4,33,89,3,40212655.84,18572124.55,140,1,2012.0,0.0,137931.0,441110.0,384.0
10,5414100369,1,99,2,0,1,0,0,3,0,370584.29,0.0,3,1,2013.0,0.0,242.0,91013.0,384.0
11,2347009476,1,2453,39,1,37,11,9,84,0,3124834.21,0.0,95,1,2012.0,125.0,85463.0,85948.0,384.0
12,4321000070,1,1840,2,2,23,1,7,32,0,169716145.2,4657460.5,39,1,2012.0,0.0,0.0,53914.0,384.0
13,1429006530,1,2402,27,2,34,3,8,75,0,25689427.49,0.0,84,1,2017.0,0.0,147399.0,218592.0,384.0
14,3505003270,1,134,0,4,19,0,6,18,0,0.0,0.0,24,0,2012.0,21461.0,20211.0,81132.0,384.0
15,7722651420,1,92,10,2,8,3,3,17,0,322028179.27,5849154.35,20,0,2012.0,80.0,409695.0,408655.0,384.0
16,6732030100,1,1232,0,19,24,0,13,43,0,0.0,189484257.44,56,1,2012.0,0.0,0.0,114350.0,384.0
17,1001227084,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
18,6907010474,2,501,18,0,136,3,20,135,0,7666480.78,0.0,155,1,2013.0,0.0,7470741.0,5635748.0,383.0
19,1701050442,1,160,5,1,8,0,4,16,0,253432.37,0.0,20,1,2012.0,0.0,976.0,7794.0,384.0
20,7701651532,2,1540,18,5,78,2,6,109,0,37869312.66,26043030.77,115,1,2012.0,4.0,384807.0,289756.0,384.0
21,4029028408,1,6,0,0,0,0,0,2,0,0.0,0.0,2,0,2012.0,0.0,0.0,120.0,384.0
22,7326037640,1,773,11,3,10,0,9,24,0,203954192.08,98748250.48,33,1,2012.0,0.0,0.0,34731.0,384.0
23,4521003135,1,195,0,0,1,0,0,2,0,0.0,0.0,2,0,2012.0,0.0,0.0,4537.0,384.0
24,5535007195,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
25,3525203863,1,8,0,0,2,0,0,2,0,0.0,0.0,2,0,2017.0,0.0,1317.0,348.0,384.0
26,7724793607,1,877,28,7,28,3,10,67,0,184894506.19,255866910.22,79,1,2012.0,0.0,0.0,869484.0,384.0
27,5044075933,1,197,12,3,4,1,4,15,0,59822439.68,1022070.34,24,1,2013.0,6.0,30274.0,10116.0,384.0
28,7701223216,1,2,1,0,0,0,0,1,0,296303.4,0.0,1,0,2012.0,0.0,0.0,5468.0,384.0
29,3507005160,1,714,2,0,11,0,5,9,0,9448254.57,0.0,14,1,2017.0,16160.0,14753.0,7301.0,384.0
30,6105007117,1,2,1,0,0,0,0,1,0,0.0,0.0,1,0,2012.0,0.0,0.0,4416.0,384.0
31,1203000142,5,7447,48,26,260,19,45,350,11,86398555.5,63135907.0,408,1,2017.0,252652.0,165670.0,493782.0,384.0
32,2107004611,1,77,1,0,6,0,1,8,0,1442100.0,0.0,9,1,2012.0,0.0,0.0,3468.0,384.0
33,6452018325,1,97,0,0,3,0,1,7,0,0.0,0.0,8,0,2013.0,87.0,99.0,3093.0,384.0
34,1411004211,1,134,9,1,4,0,3,15,0,13047612.99,0.0,19,1,2012.0,0.0,0.0,167857.0,384.0
35,7714149601,1,684,10,2,11,0,4,24,0,2225177701.37,1179615.0,28,1,2012.0,142362.0,120315.0,260746.0,384.0
36,6730010179,1,132,0,3,4,0,1,10,0,0.0,1023800.12,11,0,2012.0,0.0,0.0,12859.0,384.0
37,3721002810,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
38,6658410536,1,8,0,1,1,0,0,2,0,0.0,2326038.24,2,0,2013.0,4.0,94.0,2536.0,384.0
39,7453079153,1,9,1,1,2,0,2,2,0,151327.64,0.0,4,0,2013.0,0.0,8.0,18.0,384.0
40,7621009707,3,1326,21,0,229,8,13,241,0,52120725.1,0.0,254,1,2013.0,0.0,20920.0,33352.0,384.0
41,1656033107,1,16,0,0,4,0,0,4,0,0.0,0.0,4,0,2012.0,0.0,0.0,11508.0,384.0
42,8908001998,1,208,1,0,21,3,1,24,0,1471737.12,0.0,25,1,2012.0,0.0,7668.0,17507.0,384.0
43,6102001565,1,165,9,1,10,0,4,17,0,3258962.7,5041.67,21,1,2012.0,0.0,3435.0,8140.0,384.0
44,7725781273,1,1332,0,1,6,0,8,3,0,0.0,38581040.0,11,0,2017.0,1240.0,56524.0,47638.0,384.0
45,4347021100,1,297,10,0,15,0,2,31,0,2570008.78,0.0,33,0,2013.0,0.0,880.0,720.0,384.0
46,2111008200,1,813,6,2,18,0,11,28,0,8147773.25,5005943.3,39,1,2013.0,0.0,409.0,409.0,384.0
47,6317141403,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
48,2226001190,3,16362,32,28,123,24,106,155,0,13982557.91,6268478511.97,262,1,2012.0,2352.0,153395.0,227156.0,384.0
49,5042125258,1,796,47,9,15,4,18,70,0,228231512.17,53420921.25,89,1,2019.0,12.0,144054.0,24298.0,384.0
50,7713345804,1,9,2,0,1,0,0,3,0,10042.3,0.0,3,0,2017.0,0.0,3533.0,2557.0,384.0
51,1435087440,1,254,1,1,8,1,6,7,0,16000.0,46622.0,13,0,2013.0,0.0,3678.0,6580.0,384.0
52,2465002653,2,5677,9,12,88,8,18,116,0,7565784.87,279200285.03,134,1,2012.0,0.0,113756.0,122240.0,384.0
53,6154086295,1,30,6,0,2,0,1,7,0,78390388.38,0.0,8,1,2012.0,473.0,11155.0,12314.0,384.0
54,7725029923,1,558,27,5,19,2,9,54,1,172980832.64,17495108.52,64,1,2012.0,1818.0,133767.0,190578.0,384.0
55,6900000290,2,6954,2,11,141,1,31,142,0,1202753.9,215362563.43,173,1,2012.0,24451.0,118345.0,262586.0,384.0
56,7730139946,1,9,0,0,1,0,0,1,0,0.0,0.0,1,0,2013.0,0.0,14376.0,37179.0,384.0
57,7701839238,1,70,0,2,0,0,0,4,0,0.0,8421195.6,5,0,2013.0,97.0,153037.0,404530.0,384.0
58,7730565969,1,173,5,3,5,0,3,15,0,4270205.95,19062089.96,18,1,2012.0,0.0,171170.0,298590.0,384.0
59,3814022520,1,67,9,0,3,1,2,10,0,10026832.34,0.0,12,1,2017.0,0.0,8823.0,21587.0,384.0
60,5404283138,1,861,1,4,17,0,10,22,0,18220748.23,398416798.21,32,1,2012.0,0.0,0.0,91564.0,384.0
61,3501000166,7,9071,23,232,264,5,90,533,1,63805590.01,384272698.42,624,0,2013.0,0.0,5646.0,27168.0,384.0
62,3321004436,1,395,7,7,10,0,6,29,0,4997606.74,1293188.93,35,1,2012.0,0.0,39877.0,13339.0,384.0
63,5501078737,2,9702,15,13,66,8,26,98,1,308970575.53,514456265.3,125,1,2012.0,0.0,288763.0,419522.0,384.0
64,3250519362,1,2168,8,2,33,4,11,37,0,3178947.25,4096686.0,48,1,2012.0,0.0,0.0,137346.0,384.0
65,4507002588,1,246,3,0,30,0,6,33,0,3610936.42,0.0,39,1,2013.0,0.0,250.0,459.0,384.0
66,5222071273,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
67,7802646458,1,1,0,0,1,0,0,1,0,0.0,0.0,1,0,2017.0,0.0,0.0,27.0,384.0
68,5838011899,1,371,32,0,6,1,3,38,0,9279554.69,0.0,41,1,2017.0,172.0,13152.0,9711.0,384.0
69,2814002385,1,33,1,0,4,0,0,9,0,0.0,0.0,9,0,2012.0,0.0,219.0,395.0,384.0
70,2508012923,7,5345,45,50,442,9,29,590,0,328158684.1,384667316.43,619,1,2012.0,100257.0,186219.0,486660.0,384.0
71,1214002504,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
72,2611005373,1,2,0,0,1,0,0,1,0,0.0,0.0,1,0,2012.0,0.0,14167.0,15344.0,384.0
73,5404263460,1,264,0,0,2,0,1,3,0,0.0,0.0,4,1,2017.0,0.0,0.0,0.0,384.0
74,4501002616,1,329,2,0,30,0,7,25,0,131158.5,0.0,32,1,2013.0,0.0,31178.0,1978.0,384.0
75,5236003347,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
76,6012000239,1,22,0,0,2,0,0,2,0,0.0,0.0,2,1,2012.0,0.0,0.0,4671.0,384.0
77,6443017981,1,124,0,0,12,0,1,11,0,0.0,0.0,12,1,2013.0,0.0,205.0,242.0,384.0
78,6426003812,1,377,2,0,19,0,0,22,0,673149.22,0.0,22,1,2012.0,0.0,0.0,7168.0,384.0
79,5508000722,2,1209,3,1,124,2,16,120,0,5149412.17,0.0,136,1,2013.0,0.0,236772.0,14372.0,384.0
80,2907015620,1,8,1,0,3,1,2,2,0,965821.74,0.0,4,0,2013.0,0.0,1157.0,1121.0,384.0
81,5501003731,1,31,0,2,7,0,0,9,0,0.0,463786.71,9,0,2013.0,0.0,600.0,14132.0,384.0
82,5230002690,1,829,3,0,10,2,5,13,0,704755.6,0.0,18,1,2012.0,0.0,0.0,37681.0,384.0
83,6453113557,1,60,0,0,4,0,0,4,0,0.0,0.0,4,1,2013.0,391.0,6917.0,7755.0,384.0
84,7708570018,1,38,0,0,2,0,3,1,0,0.0,0.0,5,0,2012.0,0.0,65542.0,180930.0,384.0
85,7733535610,1,98,10,1,8,0,6,16,0,1227698.47,88541.27,22,0,,,,,
86,7006005167,1,221,17,1,5,1,4,23,0,10340566.33,1210788.38,27,1,2012.0,0.0,8208.0,22349.0,384.0
87,6140019517,1,46,1,1,2,1,0,6,0,0.0,0.0,6,0,2012.0,0.0,0.0,11089.0,384.0
88,7707705992,1,129,2,3,5,0,4,6,0,155404601.89,37894498.5,12,1,2012.0,0.0,0.0,336632.0,384.0
89,7701568235,1,163,1,1,4,0,2,4,0,59528.5,827916.44,8,1,2014.0,0.0,85686.0,83406.0,384.0
90,1822000100,1,198,4,2,8,0,3,12,0,1182014.09,286000.0,15,1,2013.0,0.0,7920.0,12591.0,384.0
91,1645020900,1,523,22,2,53,6,6,82,0,40832643.35,569028.66,88,1,2013.0,0.0,6657.0,6657.0,384.0
92,7709880887,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
93,4604000730,1,10,0,0,1,0,0,1,0,0.0,0.0,1,0,2017.0,0.0,44.0,574.0,384.0
94,7104008631,1,4,0,0,1,0,1,0,0,0.0,0.0,1,0,2012.0,0.0,0.0,22934.0,384.0
95,7842353970,1,1218,10,4,25,6,2,43,0,6480131.34,2424644.95,45,0,2012.0,7.0,7577.0,23276.0,384.0
96,8901998318,1,1,0,0,1,0,0,1,0,0.0,0.0,1,0,2017.0,0.0,259.0,259.0,384.0
97,5638055144,1,160,2,0,34,1,4,33,0,297724.4,0.0,37,1,2013.0,0.0,196.0,85.0,384.0
98,9102060446,1,63,1,0,0,0,1,1,0,43200.0,0.0,2,0,2017.0,33350.0,168422.0,272612.0,384.0
99,2266005106,1,4,1,0,1,0,0,2,0,3000.0,0.0,2,0,2013.0,0.0,130.0,1540.0,384.0
100,7731509371,1,140,0,6,3,0,9,9,0,0.0,3663755.77,18,0,2013.0,0.0,12345.0,12345.0,384.0
101,3525349527,1,5,0,0,3,0,0,3,0,0.0,0.0,3,0,2017.0,0.0,1980.0,2364.0,384.0
102,7725239857,2,3825,13,26,77,1,56,108,0,48317893.59,248511799.64,164,1,2012.0,0.0,0.0,1555650.0,384.0
103,6105002983,1,734,3,1,1,0,4,7,0,2567399.44,2599897.5,12,1,2012.0,0.0,0.0,7489.0,384.0
104,4509006482,1,515,1,0,10,7,6,13,0,8627217.75,0.0,19,1,2017.0,35720.0,4151.0,40011.0,384.0
105,5902141369,1,875,16,0,25,0,8,58,0,4210127.98,0.0,66,1,2017.0,0.0,24938.0,10024.0,384.0
106,6810000105,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
107,1508000122,1,170,9,0,24,0,1,41,0,1612113.01,0.0,42,1,2012.0,0.0,0.0,49822.0,384.0
108,6454050638,1,528,5,0,23,0,1,30,0,5395577.63,0.0,31,1,2012.0,0.0,0.0,211801.0,384.0
109,2302030982,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
110,8617004112,1,130,22,0,2,0,1,27,1,14640559.47,0.0,29,1,2017.0,0.0,4853.0,6230.0,384.0
111,7722308044,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
112,7841475679,1,68,0,0,2,0,1,4,0,0.0,0.0,5,0,2014.0,360.0,272.0,285.0,384.0
113,7617000557,1,248,1,1,10,0,2,10,0,1049607.36,1049607.36,12,1,2012.0,0.0,0.0,5313.0,384.0
114,3334020354,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
115,2318010808,1,124,3,2,6,3,2,10,0,2251031.55,18740.62,14,1,2012.0,70.0,5529.0,15237.0,384.0
116,3726003720,1,12,0,1,1,0,1,1,0,0.0,46012.53,2,0,2012.0,0.0,0.0,4356.0,384.0
117,7717783534,1,55,3,0,1,0,1,3,0,686131.38,0.0,4,1,2017.0,0.0,4352.0,57397.0,384.0
118,7814290213,1,215,7,3,3,1,4,17,0,31944500.94,7368422.34,21,1,2012.0,0.0,0.0,46356.0,384.0
119,7610044996,1,267,1,0,21,0,3,19,0,1665111.83,0.0,22,1,2013.0,27106.0,16579.0,41540.0,384.0
120,6324040438,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
121,5837068476,1,2,0,0,1,1,0,1,0,0.0,0.0,1,1,2017.0,0.0,5185.0,6081.0,384.0
122,5530000076,1,272,11,4,24,0,4,44,0,13214628.52,0.0,48,0,2012.0,11898.0,89686.0,195505.0,384.0
123,2346012846,1,172,15,1,11,0,1,30,0,1355039.73,3040.0,31,1,2012.0,0.0,0.0,18288.0,384.0
124,5436110191,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
125,1511010480,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
126,6623043878,1,192,4,0,2,0,1,7,0,8422526.32,0.0,8,1,2013.0,0.0,4846.0,4541.0,384.0
127,1514013426,2,668,48,59,33,8,6,136,0,78717102.87,5378957.59,142,1,2017.0,0.0,58334.0,21388.0,384.0
128,6662111440,1,1034,3,1,9,5,9,7,0,132471.97,0.0,16,1,2017.0,0.0,2956.0,2908.0,384.0
129,3517003250,1,143,3,0,31,0,1,36,0,1520932.6,0.0,37,1,2012.0,0.0,0.0,48063.0,384.0
130,7736187086,1,7,1,0,1,0,0,3,0,28500.0,0.0,3,0,2017.0,0.0,7816.0,3286.0,384.0
131,3503004631,1,523,2,3,15,0,0,21,0,8712989.12,5549326.37,21,1,2012.0,0.0,2246.0,6134.0,384.0
132,6320008472,1,771,0,2,9,2,3,10,0,0.0,3023393.73,13,1,2012.0,0.0,20796.0,11548.0,384.0
133,6205005875,1,10,2,0,1,0,0,3,0,244670.75,0.0,3,0,2012.0,0.0,1435.0,2757.0,384.0
134,4703105501,1,2,0,0,1,0,0,1,0,0.0,0.0,1,0,2012.0,0.0,0.0,193.0,384.0
135,7703065332,1,63,2,0,4,1,2,9,1,1619444.91,0.0,12,1,2012.0,0.0,0.0,87425.0,384.0
136,7706237861,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
137,5620006322,1,244,2,1,23,0,6,20,0,38620.0,38620.0,26,1,2012.0,5947.0,12606.0,69551.0,384.0
138,2719008034,1,82,1,0,2,0,2,1,0,0.0,0.0,3,1,2012.0,0.0,20572.0,4965.0,384.0
139,3851005241,1,34,0,2,2,0,0,5,0,0.0,123713.0,5,0,2013.0,0.0,4848.0,55089.0,384.0
140,3212001450,1,1124,7,0,36,2,9,41,0,205564006.12,0.0,50,1,2012.0,40124.0,10753.0,102910.0,384.0
141,5402548780,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
142,7719807082,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
143,1659050559,2,3853,1,11,84,4,17,131,0,500000.0,5061856.97,148,0,2013.0,0.0,20.0,752.0,384.0
144,5045012446,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
145,2312011001,1,364,7,5,19,0,11,29,1,7314158.29,3457270.45,43,1,2013.0,0.0,4903.0,6965.0,384.0
146,7727656060,1,442,0,0,1,1,2,0,0,0.0,0.0,2,1,2012.0,0.0,0.0,4054.0,384.0
147,4712040346,2,2412,3,26,95,6,7,141,0,83481298.02,57518581.6,149,1,2012.0,0.0,93438.0,99968.0,384.0
148,3436108015,1,119,0,0,3,1,3,0,0,0.0,0.0,3,1,2013.0,0.0,15094.0,16578.0,384.0
149,6727003132,1,53,3,0,4,0,0,8,0,2378093.6,0.0,8,1,2012.0,0.0,0.0,35611.0,384.0
150,5418101324,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
151,6128002570,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
152,6636002484,1,10,1,0,0,0,0,3,0,0.0,0.0,3,0,2012.0,0.0,3523.0,4296.0,384.0
153,2912005987,1,18,1,0,8,0,1,8,0,54257.72,0.0,9,0,2013.0,0.0,495.0,458.0,384.0
154,2256002057,1,171,4,2,8,2,1,15,0,16090.84,0.0,16,1,2012.0,0.0,0.0,6626.0,384.0
155,2721208520,1,77,0,0,5,1,2,6,0,0.0,0.0,8,1,2014.0,0.0,45016.0,115196.0,384.0
156,3612007110,1,3,0,1,0,0,0,1,0,0.0,117427.72,1,0,2012.0,538.0,16645.0,17546.0,384.0
157,3525092769,4,17023,4,62,225,14,44,313,1,42751741.55,217243354.31,358,1,2012.0,93390.0,426144.0,703496.0,384.0
158,5610007430,1,101,2,0,13,0,3,14,0,25664.96,0.0,17,0,2012.0,0.0,458050.0,449509.0,384.0
159,3525119121,1,7066,2,16,68,9,10,87,1,100000.0,9572183.29,98,0,2012.0,2024.0,149917.0,906320.0,384.0
160,3217002312,1,158,0,0,17,0,1,16,0,0.0,0.0,17,1,2012.0,0.0,0.0,12619.0,384.0
161,8909000186,1,110,12,0,13,0,0,29,0,12381860.99,0.0,29,1,2012.0,0.0,0.0,26721.0,384.0
162,5612078066,1,222,2,2,2,0,1,9,0,1865950.59,5847290.42,10,0,2013.0,0.0,9591.0,8001.0,384.0
163,7728812071,1,5604,4,1,23,12,17,27,2,1901890.42,0.0,47,1,2017.0,534107.0,297748.0,832973.0,384.0
164,4813000036,1,852,19,2,18,0,8,44,0,236073669.16,17000.0,52,1,2012.0,2445.0,20708.0,40774.0,384.0
165,7447178533,1,68,3,1,7,0,2,12,0,210963.42,10000.0,14,0,2013.0,0.0,753.0,832.0,384.0
166,3904049710,1,235,0,2,5,0,3,6,0,0.0,702895.58,9,0,2013.0,6000.0,446.0,15682.0,384.0
167,6311175195,1,28,0,1,7,1,0,8,0,0.0,0.0,8,0,2018.0,0.0,2086.0,4264.0,384.0
168,2629005857,1,339,8,2,21,0,5,33,0,1693820.67,2237507.86,38,1,2012.0,0.0,19565.0,30117.0,384.0
169,1020010136,1,664,22,3,38,0,6,68,0,51435318.14,33174444.15,74,1,2017.0,0.0,36750.0,14769.0,384.0
170,5012012970,1,12,0,0,1,0,0,3,0,0.0,0.0,4,0,2012.0,0.0,1591.0,762.0,384.0
171,6627020656,1,318,56,0,23,0,1,84,0,30325504.0,0.0,85,1,2013.0,0.0,4201.0,4411.0,384.0
172,7224008489,1,1067,1,4,77,7,9,77,2,0.0,12683058.0,88,1,2012.0,4066.0,32947.0,189405.0,384.0
173,2312229520,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
174,2104000168,1,20,1,1,1,0,1,3,0,0.0,0.0,4,0,2012.0,8024.0,48.0,79697.0,384.0
175,3403029061,1,184,50,0,4,0,1,55,0,3012581.88,0.0,56,1,2013.0,0.0,521.0,223.0,384.0
176,2901137759,1,609,0,8,35,0,1,45,0,0.0,35192337.13,46,0,2013.0,0.0,3768.0,89601.0,384.0
177,5504002704,1,370,4,1,15,0,3,18,0,9110021.05,5359341.62,21,1,2012.0,0.0,12462.0,14977.0,384.0
178,3628000833,1,431,4,30,8,0,4,39,0,2995085.54,355019.29,43,1,2012.0,0.0,0.0,60993.0,384.0
179,5945001214,1,369,9,6,14,0,13,27,0,34564924.01,7549691.0,40,1,2012.0,0.0,0.0,24394.0,384.0
180,7839032119,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
181,6725005494,6,5643,215,66,197,1,52,535,0,697439095.41,1968934333.19,588,1,2012.0,104662.0,777182.0,1210091.0,384.0
182,1001003743,1,47,0,1,2,0,1,3,0,0.0,0.0,4,0,2013.0,0.0,1080.0,4399.0,384.0
183,1302000640,1,25,2,0,7,0,0,9,0,5800000.0,0.0,9,1,2012.0,0.0,0.0,32400.0,384.0
184,1609004518,1,87,0,0,8,0,2,6,0,0.0,0.0,8,0,2012.0,0.0,0.0,1620.0,384.0
185,5437101295,1,119,2,0,1,1,0,4,0,0.0,0.0,4,1,2012.0,0.0,0.0,10866.0,384.0
186,5402511357,1,3,0,0,1,0,1,0,0,0.0,0.0,1,1,2012.0,0.0,0.0,47557.0,384.0
187,1502000912,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
188,5406339932,1,375,25,0,37,0,6,63,0,34568136.72,0.0,69,1,2012.0,2791.0,289333.0,287226.0,384.0
189,7701038326,1,3,1,0,0,0,0,1,0,50000.0,0.0,1,0,2012.0,0.0,0.0,12528.0,384.0
190,5045021088,1,41,2,1,3,0,0,6,0,67447.33,0.0,6,0,2012.0,0.0,0.0,1597.0,384.0
191,5009033730,1,4870,4,21,32,4,9,49,5,794277.24,64052835.29,86,0,2012.0,1992651.0,830163.0,3884450.0,384.0
192,4523004705,1,111,3,0,0,0,0,3,0,2640096.89,0.0,3,1,2017.0,0.0,2181.0,0.0,384.0
